Date,Value
2026-01-02,315.1499938964844
2026-01-05,316.5400085449219
2026-01-06,314.3399963378906
2026-01-07,321.9800109863281
2026-01-08,325.44000244140625
2026-01-09,328.57000732421875
2026-01-12,331.8599853515625
2026-01-13,335.9700012207031
2026-01-14,335.8399963378906
2026-01-15,332.7799987792969
2026-01-16,330.0
2026-01-20,322.0
2026-01-21,328.3800048828125
2026-01-22,330.5400085449219
2026-01-23,327.92999267578125
2026-01-26,333.260009765625
2026-01-27,334.54998779296875
2026-01-28,336.010009765625
2026-01-29,338.25
2026-01-30,338.0
2026-02-02,343.69000244140625
2026-02-03,339.7099914550781
2026-02-04,333.0400085449219
2026-02-05,331.25
2026-02-06,322.8599853515625
2026-02-09,324.32000732421875
2026-02-10,318.5799865722656
2026-02-11,310.9599914550781
2026-02-12,309.0
2026-02-13,305.7200012207031
2026-02-17,302.0199890136719
2026-02-18,303.3299865722656
2026-02-19,302.8500061035156
2026-02-20,314.9800109863281
2026-02-23,311.489990234375
